,activites,backgrounds,description,duration,end,languages,location,natioinalities,organization,positions,salary,selections,skills,start,url
86,1. A/B testing,"Preferred Marketing, Public relations, Software development and programming","        A growth hacker intern is someone whose objective is to grow the number of users for a specific product. While lots of people consider user growth to be a marketing function, this assumes that there's only one way to get users (namely, marketing)Spider G is the kind of startup that provides:·The liberty to stand up and speak your thoughts out loud· A flat hierarchy is how we sail this company· The freedom to walk barefoot around      ",13 Weeks,15-Nov-17,No preferences,"Pune, India",No preferences,SpiderG-Gladiris Technologies Pvt.Ltd,2,93 USD per Month ,"Interviews on Skype. Submission of past work/portfolio along with CV is required. Initial screening round via video call, Assignment Evaluation, Final round of interview, Our main outlook is to search for the interns who have the ownership of their talent and are creative in their own way. Spider G is the kind of startup that provides: ·The liberty to stand up and speak your thoughts out loud · We respect and deliberately acquire that kind of intelligence","Preferred Content Marketing, Creativity, Critical Thinking, Digital Marketing, Organisational Management",15-Aug-17,http://aiesec.org/opportunity/853282
87,Creation of Brand Identity,"Preferred Graphic design, Marketing",        To solve design problems in its different areas of application through the elaboration of proposals that respond to the needs of the entrepreneurs linked to CorpoAmbato and to the requirements of the market      ,7 Weeks,20-Oct-17,No preferences,"Ambato, Ecuador",No preferences,Corporación Civil para el Desarrollo Económico de Ambato y Tungurahua,1,Unpaid,1) Interview by AIESEC in Ecuador 2) Shortlist of applicants 3) Selection Announcements,"Preferred Adobe Illustrator, Adobe Dreamweaver, Adobe Flash, Creativity, Digital Marketing, Internet usage, Image editing",28-Aug-17,http://aiesec.org/opportunity/853037
88,"Produce fully functional programs writing clean, testeble code;",Required Software development and programming,"        We are looking for a skilled web programmer to join our ITteam. You'll be responsible for designing, coding improvingour programs and applications. As a Web programmer, youshoud write clean code to ensure our programs run properlyand address our company needs. PLEASE, APPLY HERE TOO: bit.ly/aiesecinvitoria      ",12 Weeks,27-Nov-17,No preferences,"VITÓRIA, BRAZIL",No preferences,Conceptho,1,Unpaid,"1) Interview with the candidate, about abilities, skills and motivation to work here in Brazil. 2) Meeting with the company to present the candidate assisted by the recruiter with his/her impressions of the candidate","Required HTML, MySQL, PHP, CSS, Javascript Preferred Mobile Development, Ajax",04-Sep-17,http://aiesec.org/opportunity/852852
89,Design the graphic identity of the company,Required Graphic design Preferred Design,        Create physical and virtual content in the company      ,Unpaid,13 Weeks,No preferences,"tacna, peru","Preferred Brazil, Argentina, Mexico, Colombia",F.PIZZAS T. E.I.R.L.,09-Oct-17,1,Computer Provided,Required Adobe InDesign Preferred Designing Commercial Aircrafts,09-Jan-18,http://aiesec.org/opportunity/852334
90,Representar y promover la empresa en eventos corporativos y de otra índole.,Preferred Public relations,"        Asumir con total propiedad las actividades de Relaciones Públicas, Mercadeo, Redes Sociales y Soporte de Operaciones de la empresa      ",8 Weeks,15-Oct-17,No preferences,"San Pedro, San José, Costa Rica",No preferences,Yummy Cooks,1,Unpaid,Aplicación en EXPA- Primero entrevista con AIESEC- Después entrevista con CEO Yummy Cooks,Required Social Media Management,15-Aug-17,http://aiesec.org/opportunity/852066
91,Handling web development,"Preferred Design, Computer engineering, Computer sciences",        1.Web development and app development.2. SEO and SMO work.3. Data analysis4. Banners and posters designing.      ,12 Weeks,30-Nov-17,No preferences,"Udaipur, India",No preferences,VIVian Creations (Shades of Udaipur),1,Unpaid,#NAME?,"Preferred Javascript, Web Content, HTML, CSS, PHP",01-Sep-17,http://aiesec.org/opportunity/852045
92,Manage and handle Social Media,"Preferred Marketing, Graphic design",        1. Managing our social media handles.2. Doing field visit and field based research.3. Meeting with our clients for advertisement.4. Managing our events.5. Meeting with our sponsors      ,12 Weeks,30-Nov-17,No preferences,"Udaipur, India",No preferences,VIVian Creations (Shades of Udaipur),1,Unpaid,1. General Interview by AIESEC in Udaipur VP. 2. Review report submitted to VIVian Creation. 3. An interview taken by the Responsible from VIVian Creation.,"Preferred Adobe After Effects, Photoshop, Corel Draw, Content Marketing, Digital Marketing, Market Research",01-Sep-17,http://aiesec.org/opportunity/852043
93,Booking in deliveries and liaising with customers.,"Preferred Logistics, Entrepreneurship","        Logistics is an increasingly prevalent term in business. It’s about getting the product to the customer in the most efficient, timely and cost effective manner. Transport and logistics managers play a key role in meeting those customers’ expectations. They are responsible for managing the execution, direction, and coordination of all transportation matters within the organisation. Ensuring that vehicles are safe and meet legal requirements.      ",8 Weeks,14-Oct-17,No preferences,"Vridi, Côte d'Ivoire",No preferences,Côte d'Ivoire Logistique,5,Unpaid,"After application, you will receive an email of certification of your application You will send your CV by the mail which you will received the confirmation of your application If you are selected, you will received a agenda of your interview about the opportunity, the cost of life and all about COTE D'IVOIRE After interview, there is a second selection After the selection, you will make another interview with the responsible of the project You can prepare yourself and come here in CÔTE D'IVOIRE","Required Negotiation, Leadership Preferred Community Development, Presentation skills",14-Aug-17,http://aiesec.org/opportunity/852021
94,Develop contacts with external organizations,"Preferred Industrial engineering, Business administration, Marketing",        Work at the EAN University's Sustainable Entrepreneurship Institute to help manage alliances that will help students with entrepreneurship to emerge in the best possible way.      ,Unpaid,8 Weeks,No preferences,"CARTAGENA, ","Preferred Chile, Argentina, Venezuela, Brazil, Peru, Ecuador, El Salvador, Mexico",Universidad EAN,07-Aug-17,1,Computer Provided,"Preferred Team Management, Sales, Leadership",06-Oct-17,http://aiesec.org/opportunity/852011
95,Stipends: $50/month (on the 10th day of every month),Required Marketing Preferred Business administration,"        Work on and plan for social media: Facebook, LinkedIn, Twitter, etc, to intensify the brand awareness among target usersBe Account Manager of Golden Owl to approach foreign customers from Hong Kong, Singapore, Australia, the USA, etc      ",500 USD per Month ,13 Weeks,No preferences,"Ho Chi Minh city, Vietnam","Preferred American Samoa, Korea, Canada, Taiwan, China, Mainland, Japan, Hong Kong, Singapore",Golden Owl Asia,01-Oct-17,1,Computer Provided,"Required Sales, Content Marketing Preferred Presentation skills, Negotiation, Solution Orientation",31-Dec-17,http://aiesec.org/opportunity/851706
96,"Creation of advertising campaigns, outdoor, promotional action.","Required Marketing Preferred Arts, Literature",        The company arise with the goal of bringing relevant and creative projects. Always bringing new but functional ideas to the client's business.      ,11 Weeks,20-Nov-17,No preferences,"Vitória, Brazil",No preferences,Agência Dupla Comunicação,1,Unpaid,"1) Interview with the candidate, about abilities, skills and motivation to work here in Brazil. 2) Meeting with the company to present the candidate assisted by the recruiter with his/her impressions of the candidate 3) If accepted, communication of acceptance and next steps of the process","Required Adobe Illustrator, Photoshop",04-Sep-17,http://aiesec.org/opportunity/851629
97,Do research to choose the media for illustrating the project brief and prepare examples for approval,"Preferred Graphic design, Telecomunication engineering, Computer engineering","        Created in 2002, HYPE.CG focuses on the production of animations for the advertisement market and content creation for the film and tv industry. Specialized at giving life to great stories through computer graphics, it has its own animation on Nickelodeon and Disney Junior.The startup is looking for creative graphic animators or illustrators for this a unique opportunity for anyone who wants to work in this area, since HYPE.cg, is a reference in Latin America.Duration: 12 weeks      ",11 Weeks,25-Nov-17,No preferences,"Porto Alegre, Brazil",No preferences,HYPE,2,Unpaid,It requires a portfolio and AIESEC interview.| After the opportunity opening and divulgation: 1) Selection of CV’s; 2) Interview with applicants; 3) Applicant presentation vportfolio for the company; 4) Selection and signature of the letter of acceptance [Around 12 and 15 days],"Preferred Adobe Illustrator, Adobe After Effects, 3D Max, Creativity, Designing Commercial Aircrafts",05-Sep-17,http://aiesec.org/opportunity/851313
98,"Develop subject ideas, drawing on personal interest and topical issues",Preferred Communication & journalism,"        The Startup Unicorns Project is a 6 weeks to 3 months unpaid professional internship across Egypt’s top startups. This project was born out of our belief in the power Egyptian startups have in changing the world. This project supports Egypt in achieving Industry, Innovation and Infrastructure which is one of the United Nation’s Sustainable Development Goals (Goal #9). Through the efforts of this project, we will significantly increase industrialization in Egypt.      ",21 Weeks,31-Jan-18,No preferences,"Cairo, Egypt",No preferences,Wedding Hub,50,1500 EGP per Month ,Apply and prepare:(a) Updated CV(b) Portfolio/Work sample(c) 2-Min introductory video talking about yourself and your experience. And a representative will contact you shortly after receiving your application to support you through the process.,Required Writing Preferred Content Marketing,31-Aug-17,http://aiesec.org/opportunity/851042
99,development of software (including algorithms),"Preferred Software development and programming, Computer engineering","        We warmly introduce You to our amazing opportunity! You have unusual chance to work as an IT&Technology Specialist in one of the leading start-up in Silesia region. Due to the initial stages of the company solutions, you will be helping in the process of development - software, electronics, service delivery methods and business models. Moreover you would combine different elements - devices, systems, partial services - creating one main product.      ",Unpaid,12 Weeks,No preferences,"Katowice, Poland","Preferred Switzerland, Norway, Sweden, Denmark, The Netherlands, Austria, Germany",ICFutureTech,01-Sep-17,1,Computer Provided,"Preferred Algorithms, Technology of Building Materials, Software Engineering",30-Nov-17,http://aiesec.org/opportunity/850852
100,Maintaining the database of venues and conducting research to enlarging it,"Preferred Sports, Business administration",        You will be responsible for approaching sports venue owners and signing the up to use the platform      ,8 Weeks,15-Nov-17,No preferences,"Dubai, United Arab Emirates",No preferences,Malaeb App,1,Unpaid,- CVs/intros about each person- Skype Interview- 2nd Skype Interview (optional)- MENA resident (Preferred) Commissions per venue signed (~400 – 800 AED) Basic phone & transportation expenses,"Required Negotiation, Sales, Microsoft Excel, Microsoft Word, Client servicing Preferred Windows PC usage, Mac usage, Microsoft Powerpoint",14-Sep-17,http://aiesec.org/opportunity/850754
101,Programming of report and dashboards using POWER BI,Preferred Software development and programming,"        Alta Média is a company focused on creating solutions to increase the efficiency of midsize companies. It was founded in 2014 with only one person and one client and today May/17 we have 6 consultants and more than 20 projects carried out.PLEASE, APPLY HERE TOO: bit.ly/aiesecinvitoria      ",15 Weeks,18-Dec-17,No preferences,"Vitória, Brazil",No preferences,Alta Média Consultoria,1,Unpaid,"1) Interview with the candidate, about abilities, skills and motivation to work here in Brazil. 2) Meeting with the company to present the candidate assisted by the recruiter with his/her impressions of the candidate","Required Business Intelligence, Database Management, Microsoft Excel, Data Analysis Preferred Visual Basic, UMTS/GSM network management",04-Sep-17,http://aiesec.org/opportunity/850193
102,Define target market for the company's products with sales planning,Preferred Other,"        Super cozy, spacious, with internet, table, computer; an interactive and collaborative environment. Kitchen, coffee, snooker.We are an Integrated Marketing Communication agency with 5 years of experience. The passion for what we do moves us. We integrate branding with advertising, content, web and digital marketing. Our mission is to create intelligent and differentiated communication that solves the need of the client, focusing on results.PLEASE, APPLY HERE TOO: bit.ly/aiesecinvitoria      ",11 Weeks,20-Nov-17,No preferences,"Vila Velha, Brazil",No preferences,Whoopee Comunicação,1,Unpaid,"1) Interview with the candidate, about abilities, skills and motivation to work here in Brazil. 2) Meeting with the company to present the candidate assisted by the recruiter with his/her impressions of the candidate",Required Sales,04-Sep-17,http://aiesec.org/opportunity/850181
103,Web development.,"Preferred Marketing, Software development and programming",        Passionate IT specialist & Web Developer needed to work in a dynamic mulitasking team.      ,8 Weeks,31-Jan-18,No preferences,"Tunis, Tunisia",No preferences,Smartech,1,Unpaid,"After applying, you will receive an email with a small form to fill. Then, we will move forward to an interview with AIESEC responsible before the enabler interview.","Preferred HTML 5, CSS, Javascript, Digital Marketing",01-Dec-17,http://aiesec.org/opportunity/850174
104,Sales,Preferred Systems and Computing Engineering,"        This project introduces the concepts of digital manufacturing (FabLab) in schools, based on extracurricular workshops.The trainee will be responsible for the commercial expansion of the company.      ",13 Weeks,19-Nov-17,No preferences,"Lima, Peru",No preferences,FABLAB,1,Unpaid,Programa una entrevista en / Arrange an interview on: bit.ly/AIESECLIMAinterviews,"Required Sales, Web Content, Adaptability Preferred XML, Javascript, Perl, PHP",14-Aug-17,http://aiesec.org/opportunity/850070
105,Company's image management,"Preferred Marketing, Graphic design, Software development and programming","        The trainee should meet the company's expectations in terms of corporative image, public relations and video making.      ",13 Weeks,02-Jan-18,No preferences,"LIMA, PERÚ",No preferences,Zero Comunicaciones,1,Unpaid,Programa una entrevista en / Arrange an interview on: bit.ly/AIESECLIMAinterviews,"Preferred Adobe After Effects, Adobe Illustrator, Adobe Flash, Adobe InDesign, Adobe Premiere Pro, Photoshop, iMovie, Image editing, Filming",02-Oct-17,http://aiesec.org/opportunity/849910
106,Digital Marketing,"Preferred Marketing, Business administration, Graphic design","        The trainee will improve his/her negotiation skills. Will learn from the immersion in the Peruvian Entrepreneurial Ecosystem. Is an opportunity to work in a country that is part of the ""Pacific Alliance"". And will develop his/her leadership skills.      ",13 Weeks,02-Jan-18,No preferences,"LIMA, PERÚ",No preferences,Zero Comunicaciones,2,Unpaid,Programa una entrevista en / Arrange an interview on: bit.ly/AIESECLIMAinterviews,"Preferred Content Marketing, Digital Marketing, Market Research, Microsoft Excel, Microsoft Powerpoint, Content Strategy, Social Media Management, Strategic Planning",02-Oct-17,http://aiesec.org/opportunity/849906
107,Responsible for strategy to drive app sign ups and mobile user acquisition,Preferred Marketing,"        We're a tech startup driven by passion, analytics, innovation & eccentric people. We are building a mobile-based social networking platform & a global community that redefines how people connect & meet each other. The Growth Hacker Intern will facilitate the Exchanging ideas/data/feedback with other departments (design, marketing, tech) in order to make the product more user-centric.      ",Unpaid,13 Weeks,No preferences,"New Delhi, India","Preferred Ireland, New Zealand, Denmark, Finland, Turkey, Italy, Sweden, France, Germany, The Netherlands, Australia, Mexico, Argentina, United States, United Kingdom, Canada, Brazil",Shout Networking Ltd,02-Sep-17,2,Computer Provided,"Preferred Market Research, Digital Marketing, Content Marketing",02-Dec-17,http://aiesec.org/opportunity/849661
108,Sales,Preferred Education,        This project introduces the concepts of digital manufacturing(FabLab) in schools based on extracurricular workshops.You will be responsible for the commercial expansion of the company and designing courses based in educational projects.      ,13 Weeks,19-Nov-17,No preferences,"Lima, Peru",No preferences,FABLAB,1,Unpaid,Programa una entrevista en / Arrange an interview on: bit.ly/AIESECLIMAinterviews,"Required Adaptability, Sales Preferred Adobe Illustrator, Project Management",14-Aug-17,http://aiesec.org/opportunity/849568
109,Producing ideas about new vending machines and kiosks,"Required Marketing Preferred Business administration, International Trade","        EP will join the company to use Iran's vending machines and kiosks brilliant market to make Iranian people feeling friendly to vending machines and kiosks.Company needs EPs to upgrade the rail of this train to go better and fast, and help people save their time by letting machines and kiosks doing their ordinary selling and servicing jobs.And also EPs should work on producing ideas about new vending machines and kiosks; Making strategical plans to sell more.      ",Unpaid,8 Weeks,No preferences,"Pardis - Tehran, Iran",Preferred Russia,Pars Vending,01-Dec-17,2,Computer Provided,"Required Content Marketing, Content Strategy, Strategic Planning Preferred Creativity, Adaptability, Solution Orientation, Negotiation, Time Management, Facilitation",01-Feb-18,http://aiesec.org/opportunity/849480
110,1.make marketing plans for enrollment and summer camp,Preferred Education,"        1.This is a 3-month marketing opportunity. You will be living with a host family which gives you an amazing opportunity to learn about Chinese culture and mandarin.  2.You can join in activities in weekends with AIESECers in SWUFE ,who can help you obtain basic understanding of Chinese culture. 3.You can know first hand knowledge of current Chinese education condition.4.You can develop communication and motivation skills, patience and leadership.      ",Unpaid,6 Weeks,No preferences,"Chengdu, China","Preferred Australia, Canada, United States, United Kingdom",Chengdu Rui Yin Education Consultancy Ltd.,15-Aug-17,1,Computer Provided,Required Internet usage,30-Sep-17,http://aiesec.org/opportunity/849409
111,Develop skills in handling various e-commerce platforms,"Preferred Marketing, International Trade, Languages","        ?Host LC—SZU?Established in 2009, SZU has become one of the best LCs in AIESEC MoC. AIESEC SZU provides EPs with international and wonderful opportunities. Shenzhen, as the first and the most successful Special Economic Zone, is the most prosperous city apart from Beijing and Shanghai in China. Situated immediately north of Hong Kong Special Administrative Region, it forges a tight link to international business.[Role Description]Management Trainee      ",2000 CNY per Month ,13 Weeks,No preferences,"Shenzhen, China","Preferred United States, Canada, United Kingdom, Germany, France, Italy, Austria, Spain",Interact China,01-Sep-17,5,Computer Provided,"Preferred Internet usage, Leadership, Sales, Organisational Management, Express, Project Management, Team Management",01-Dec-17,http://aiesec.org/opportunity/849267
112,Sales,"Preferred Business administration, Marketing","        -Introducing sales app to strategic partners, explaining its features and utility-Field visits-Training partners on using the app-Follow up with partners during live auction-Inter-department coordination – routing information to respective departments-Market expansion      ",13 Weeks,15-Nov-17,No preferences,"Lahore, Pakistan",No preferences,CarFirst,2,300 USD per Month ,Totally depends on the capabilities of the person. First AIESEC conducts interviews then the Company approves.,Preferred Sales,15-Aug-17,http://aiesec.org/opportunity/849215
113,"Understanding of distribution, sales targets, trade marketing and brand building","Preferred Computer engineering, Marketing",        The internship will take place between  20th July - 18 October 2017( flexible)www.cimmarket.roDevelop good understanding of the brands CIM MARKET & Contribute to the managing of the product mix and pricing according to the company's and Department's goals and strategies;      ,8 Weeks,01-Nov-17,No preferences,"Bucuresti, ROmania",No preferences,CIM MARKET CONSULTING BUCURESTI,1,Unpaid,"1. Apply on the opportunity 2. Make sure you read all the details of the opportunities 3. Create a video by these characteristics - Length 3-5 minutes - No background music, a silent environment - Dressed appropriately (business casual) 4. In the video answer to the questions you will receive in the email from us. 5. Submit the video in the link you will receive from us.","Required Corel Draw, Photoshop Preferred Content Marketing, Presentation skills",01-Sep-17,http://aiesec.org/opportunity/848998
114,1. Doing marketing for CyberLabs products,Preferred Marketing,"        CyberLabs is a technology company which currently focus on developing software and technology which is related to business such as an online store with websites, mobile applications and point of sale systems.And now, CyberLabs is looking for interns to collaborate together in other to strengthen the company to be able to adapt with new era and go forward by creating marketing strategy which aligned with SDGs goal number 9;      ",Unpaid,8 Weeks,No preferences,"Bandung, Indonesia","Preferred Germany, Australia, China, Mainland, Taiwan",CyberLabs,10-Aug-17,1,Computer Provided,Required Sales,10-Oct-17,http://aiesec.org/opportunity/848897
115,Digital marketing for the clients,Preferred Marketing,"        Geek is a creative agency dedicated towards finding solutions for their clients through strategy, creativity and technology. Their services range from branding and online PR, to developing large scale installations, fresh concepts, content creation and E-commerce.The intern will be responsible for  developing content for the company, manage social media marketing and digital marketing.      ",16 Weeks,30-Nov-17,No preferences,"Bangalore, India",No preferences,Geek Creative Agency,6,8000 INR per Month ,"Applicants are required to send their resumes on whatsapp to +91 9038717554. Upon selection, he/she will take a screening interview and upon satisfaction, they will finally enter the third and final stage of selection rounds by the HR of the company.","Required Digital Marketing, Content Marketing Preferred Search Engine Optimization (SEO), Social Media Management, Sales, Photoshop",06-Aug-17,http://aiesec.org/opportunity/848844
116,,,,,,,,,,,,,,,http://aiesec.org/opportunity/848764
117,Engage with a very dynamic team to execute tasks,"Preferred Software development and programming, Computer sciences","        Design, build , deploy, and maintain workflows and web applications.Interns expected to complete at least 3 major assignments within 3 months.By the end of the internship, interns will be well equipped with tech industry knowledge, critical thinking skills, ability to conduct system study independently.      ",12 Weeks,30-Nov-17,No preferences,"Petaling Jaya, Malaysia",No preferences,XiMnet Sdn Bhd,1,600 MYR per Month ,Initial CV screening by AIESEC in TU - Shortlisted CVs will be sent to company for further review - company shortlist candidates for interview - interview - Feedback and Decision from company - AIESEC in TU will inform candidates of results via email,"Preferred MySQL, C#, C++, C, CSS, HTML, Javascript, .NET, ASP",01-Sep-17,http://aiesec.org/opportunity/848654
118,Market research,"Preferred Economics, Systems and Computing Engineering",        We develop innovative Learning Management System featuring virtual classroom and personal video lessons. We provide our technical system to universities and schools to improve the education system.  If you are highly motivated to learn new skills tutorland.de is the place for. You will deploy and sale our educational platform to German universities and schools. The work will be done mainly online and by phone for the German market.Check out our American site as well here - yourtutor.us      ,Unpaid,19 Weeks,No preferences,"São Carlos, ","Preferred Austria, Germany",STARTUP,15-Aug-17,1,Computer Provided,"Preferred Market Research, Critical Thinking, Collaboration",31-Dec-17,http://aiesec.org/opportunity/848412
119,"*Organize and promote activities and games for all ages, the more guests participate, the better.",Preferred Arts,"        #Will work in 5 star hotel, given job training, whilst participating within our daily programme which includes a variety of sports. Followed by an evening programme with children and then a show for the rest of the tourists. We are looking for people that are presentable and who want to work specifically with children and people that want to work in the daily entertainment sport programme. You will get salary of 150-250$/month and working hours are shifts-based with breaks.      ",8 Weeks,15-Oct-17,No preferences,"Cairo, Egypt",No preferences,BABY 101,1,150 USD per Month ,CV and Call interview.,"Preferred Leadership, Creativity, Team Management",15-Aug-17,http://aiesec.org/opportunity/848272
120,"*Organize and promote activities and games for all ages, the more guests participate, the better.",Preferred Arts,"        #Work in 5 star hotel, given job training, whilst participating within our daily programme which includes a variety of sports. Followed by an evening programme with children and then a show for the rest of the tourists. We are looking for people that are presentable and who want to work specifically with children and people that want to work in the daily entertainment sport programme. Professional social experience, salary of 1000 EGP/month and working hours are shifts-based with breaks.      ",8 Weeks,31-Oct-17,No preferences,"Cairo, Egypt",No preferences,BABY 101,5,1000 EGP per Month ,CV and a call interview.,"Preferred Leadership, Team Management, Creativity",01-Sep-17,http://aiesec.org/opportunity/848271
121,"*Organize and promote activities and games for all ages, the more guests participate, the better.",Preferred Arts,"        #Your job will be explained and you will be given on the job training, whilst participating within our daily programme which includes a variety of sports. Followed by an evening programme with children and then a show for the rest of the tourists. We are looking for people that are presentable and who want to work specifically with children and people that want to work in the daily entertainment sport programme. Gain Cross-cultural experience in professional work environment. Salary 150$/month.      ",13 Weeks,15-Dec-17,No preferences,"Cairo, Egypt",No preferences,BABY 101,1,150 USD per Month ,CV and a call interview.,"Preferred Leadership, Team Management, Creativity, Strategic Planning, Presentation skills, Training",15-Sep-17,http://aiesec.org/opportunity/848232
122,Plan Web,"Preferred Business administration, Marketing",        Our intern must be able to customize our Web plan to fit our company. Also maintain our social media interesting with fresh news. Measure and report on the performance of digital marketing campaigns.We are looking for an intern with good advertising + public relations.Marketing research & evaluation.Retail + sales marketing.      ,17 Weeks,31-Dec-17,No preferences,"Antirio, Greece",No preferences,Appoploo,1,Unpaid,-,"Required Internet usage, Windows PC usage Preferred Presentation skills",01-Sep-17,http://aiesec.org/opportunity/847633
123,* Contacting Russian Universities to determine space and deadlines for student enrollment.,Preferred Social Work,"        #As an International Coordinator, you help to create meaningful exchange experiences and provide excellent support to our students and their families. Your role has two phases, 1) Preparation Phase: From working with Russian Universities to finding and screening dormitories, the first part of coordinating is to find homes for Aspect students. 2) Support Phase: Once the students you have placed in Russian Universities arrive, you provide support during their exchange experience.      ",8 Weeks,01-Nov-17,No preferences,"Cairo, Egypt",No preferences,BABY 101,1,3000 EGP per Month ,CV and Video to ensure the quality of your experience.,"Preferred Strategic Planning, Organisational Management, Handling Pressure, Community Development, Team Management",01-Sep-17,http://aiesec.org/opportunity/847517
124,Be innovative and creative with campaigns to attract new users,"Preferred Graphic design, Design, Marketing","        Must have strong knowledge of photography, graphic design, advertising, network development, virtual store or website and creative design of gifts, invitation cards, flyers, advertisements to particulres, development of brand positioning, campaign strategies.      ",13 Weeks,30-Nov-17,No preferences,"bogota, colombia",No preferences,Rasgo,1,Unpaid,THT Test - AIESEC interview - Start Up interview,"Preferred Web Content, Digital Marketing, Network Design, Content Marketing, Image editing, Photoshop",31-Aug-17,http://aiesec.org/opportunity/847512
125,"Market Intelligence, Business development and Ability to adapt to a new cultures.","Preferred Business administration, Marketing","        Hardcore Sports is a startup specialized in adventure sports. This tourism agency and producer of sporting events is one year old and provides its customers cool experiences related to extreme sports, especially surf, biking, kite surfing, and trekking.The intern will sell travel packages directly and receive commission for each. The intern will also work on a startup with a young profile and casual business model. Desired to have International work experience and Planning skills.      ",10 Weeks,18-Nov-17,No preferences,"Rio de Janeiro, Brazil",No preferences,Hardcore Sports,2,Unpaid,All steps are eliminatory: Curriculum analysis ? Interview with AIESEC Rio de Janeiro ? Company's Selection,"Preferred Leadership, Sales, Market Research",04-Sep-17,http://aiesec.org/opportunity/847245
126,• Develop networking activities and find new business opportunities,"Preferred Design, Graphic design, Marketing","        We need someone proactive that always be creating sketches and color and creativity in pieces for all social networks that complement each other, someone that can be assertive and very innovative in branding ideas, and someone that don't be afraid to try new things.      ",13 Weeks,30-Nov-17,No preferences,"Bogotá, Colombia",No preferences,MaraNilos,1,Unpaid,THT Test - AIESEC interview - Start Up interview,"Required Network Design, Adaptability, Sales, Collaboration Preferred Web Content, Database design, Digital Marketing",31-Aug-17,http://aiesec.org/opportunity/846491
127,Training material creation,"Required Business administration, Marketing Preferred Communication & journalism","        The trainee will improve his/her negotiation skills. Will learn from the immersion in the Peruvian Entrepreneurial Ecosystem. Is an opportunity to work in a country that is part of the ""Pacific Alliance"". And will develop his/her leadership skills.      ",13 Weeks,19-Nov-17,No preferences,"Lima, Perú",No preferences,Strategio,1,Unpaid,Programa una entrevista en / Arrange an interview on: bit.ly/AIESECLIMAinterviews,"Required Content Marketing, Microsoft Excel, Microsoft Powerpoint",14-Aug-17,http://aiesec.org/opportunity/845888
128,Advanced JavaScript,"Required Software development and programming, Graphic design","        The trainee will improve his/her brand development skills. Will learn from the immersion in the Peruvian Entrepreneurial Ecosystem. Is an opportunity to work in a country that is part of the ""Pacific Alliance"". And will develop his/her leadership skills.      ",13 Weeks,15-Nov-17,No preferences,"Lima, Perú",No preferences,Strategio,1,Unpaid,Programa una entrevista en / Arrange an interview on: bit.ly/AIESECLIMAinterviews,"Required Adobe Illustrator, Javascript, UX design, CSS",15-Aug-17,http://aiesec.org/opportunity/845886
129,Determine the message the design should portray;,Preferred Marketing,"        Opportunity in working in the niche, constantly growing Marketing Automation industry;Opportunity in working on projects for top Forbes companies;Great working environment;Qualifications:Full professional proficiency in English is mandatoryGraphic Design Skills, Layout Skills, Creative Services, Customer Focus, Creativity, Flexibility;Attention to Detail, Desktop Publishing Tools, Handles Rejection;      ",Unpaid,13 Weeks,No preferences,"iasi, romania","Preferred Norway, Sweden, Finland, Spain, Italy",Logarithmic Solutions,01-Sep-17,1,Computer Provided,"Required Creativity, Windows PC usage, Internet usage, Problem Solving Preferred Content Marketing, Digital Marketing, Market Research, Data Analysis, Public Relations",01-Dec-17,http://aiesec.org/opportunity/845736
130,"Responsible for creating and transforming ideas into words for articles, advertisements;","Preferred Marketing, Communication & journalism, Linguistics","        Opportunity in working in the niche, constantly growing Marketing Automation industry.Opportunity in working on projects for top Forbes companies.Great working environment.Requirements:Full professional proficiency in English is mandatory;Excellent writing, editing and proofreading skills;Use SEO principles to maximize copy's reach;Creativity, pro-activity, responsibility and passion complete the required profile.      ",Unpaid,8 Weeks,No preferences,"iasi, romania","Preferred Australia, Spain, Italy, Mexico, Brazil",Logarithmic Solutions,01-Sep-17,1,Computer Provided,"Required Creativity, Critical Thinking, Internet usage, Windows PC usage, Content Marketing, Market Research, Adaptability, Collaboration",01-Nov-17,http://aiesec.org/opportunity/845735
131,"Work with team to develop proposals that speak to the client’s needs, concerns and objectives",Preferred Business administration,"        The Startup Unicorns Project is a 6 weeks to 3 months unpaid professional internship across Egypt’s top startups. This project was born out of our belief in the power Egyptian startups have in changing the world. The Startup Unicorns Project supports Egypt in achieving Industry, Innovation and Infrastructure which is one of the United Nation’s Sustainable Development Goals (Goal #9). Through the efforts of this project, we will significantly increase industrialization in Egypt.      ",13 Weeks,15-Nov-17,No preferences,"Cairo, Egypt",No preferences,The Startup Unicorns' Project,50,400 EGP per Month ,Please send your CV and a 2 min video about yourself and why did you choose this opportunity,"Preferred Presentation skills, Sales",15-Aug-17,http://aiesec.org/opportunity/845576
132,Facilitates day-to-day classes to assist clients in gaining knowledge and soft-skills needed,Required Social Work,"        the startup unicorns project is a 6 weeks to 3 months unpaid professional internship across Egypt`s top startups, This project was born out of our belief in the power Egyptian startup shave in changing the world. we`re not just talking about the few ""startups unicorns""were ad about in the head lines because their valuation happened to skyrocket and hit the$1 billion: we`re talking about millions of startups that, in the right environment, can change to unicorns of their own      ",6 Weeks,01-Dec-17,No preferences,"Damietta, Egypt",No preferences,Damietta's office,15,1500 EGP ,you will need to apply on the opportunityyou will need to make Skype interviewAn LC representative will contact you shortly after receiving your application to support you through the process,Preferred Creativity,15-Oct-17,http://aiesec.org/opportunity/845569
